,Start,End
0,2018-11-16 09:22:14.930365,2018-11-16 09:22:14.979820
1,2018-11-16 09:22:16.117248,2018-11-16 09:22:16.147289
2,2018-11-16 09:22:16.181293,2018-11-16 09:22:16.213293
3,2018-11-16 09:22:17.217406,2018-11-16 09:22:17.762614
4,2018-11-16 09:22:17.854091,2018-11-16 09:22:17.937611
5,2018-11-16 09:22:18.004613,2018-11-16 09:22:18.070651
6,2018-11-16 09:22:18.148253,2018-11-16 09:22:18.180393
7,2018-11-16 09:22:18.244274,2018-11-16 09:22:18.275197
8,2018-11-16 09:22:18.337714,2018-11-16 09:22:18.401778
9,2018-11-16 09:22:18.644124,2018-11-16 09:22:18.707127
